ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Column1,quality
60,7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,1,7
61,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,1,7
62,6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,1,7
63,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,1,7
64,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,1,7
65,6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,1,7
66,6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,1,7
67,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,1,7
68,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,1,7
69,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,1,7
70,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,1,7
71,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,1,7
72,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,1,7
73,6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,1,7
74,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,1,7
75,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,1,7
76,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,1,7
77,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,1,7
78,5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,1,7
79,7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,1,7
80,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,1,7
81,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,1,7
82,7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,1,8
83,6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,1,7
84,6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,1,8
85,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,1,7
86,6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,1,7
87,6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,1,8
88,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,1,7
89,5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,1,7
90,6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,1,7
91,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,1,7
92,6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,1,7
93,7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,1,7
94,7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,1,7
95,7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,1,7
96,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,1,7
97,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,1,7
98,7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,1,7
99,6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,1,7
100,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,1,7
101,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,1,7
102,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,1,7
103,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,1,7
104,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,1,7
105,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,1,7
106,6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,1,7
107,7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,1,7
108,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,1,7
109,7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,1,7
110,7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,1,7
111,7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,1,7
112,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,1,7
113,6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,1,7
114,6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,1,7
115,6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,1,7
116,6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,1,7
117,6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5,1,7
118,5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,1,8
119,6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,1,7
120,6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,1,8
121,7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,1,7
122,6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,1,8
123,6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,1,7
124,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,1,7
125,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,1,7
126,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,1,7
127,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,1,7
128,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,1,7
129,6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,1,7
130,6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,1,7
131,7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,1,8
132,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,1,7
133,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,1,7
134,5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,1,7
135,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,1,7
136,6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,1,7
137,5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,1,7
138,6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,1,7
139,6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,1,7
140,7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,1,7
141,6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,1,8
142,7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,1,7
143,6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,1,7
144,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,1,7
145,7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,1,7
146,7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,1,7
147,7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,1,7
148,7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,1,7
149,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,1,7
150,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,1,7
151,6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,1,7
152,6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,1,7
153,6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,1,7
154,9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,1,9
155,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,1,7
156,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,1,8
157,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,1,7
158,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,1,8
159,5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,1,7
160,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,1,7
161,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,1,7
162,6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,1,8
163,6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,1,7
164,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,1,7
165,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,1,9
166,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,1,9
167,7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,1,7
168,7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,1,7
169,7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,1,8
170,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,1,8
171,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,1,8
172,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,1,8
173,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,1,8
174,7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,1,7
175,7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,1,7
176,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,1,7
177,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,1,7
178,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,1,7
179,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,1,8
180,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,1,8
181,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,1,7
182,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,1,7
183,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,1,7
184,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,1,7
185,7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,1,7
186,6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,1,7
187,8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,1,8
188,7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,1,7
189,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,1,7
190,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,1,8
191,7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,1,7
192,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,1,7
193,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,1,9
194,6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,1,8
195,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,1,7
196,6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,1,7
197,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,1,7
198,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,1,7
199,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,1,7
200,7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,1,7
201,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,1,7
202,6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,1,7
203,6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,1,8
204,7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,1,8
205,7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,1,7
206,8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,1,7
207,7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,1,7
208,7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,1,8
209,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,1,7
210,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,1,7
211,7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,1,7
212,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,1,7
213,6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,1,7
214,6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,1,7
215,6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,1,7
216,6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,1,7
217,6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,1,7
218,8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,1,7
219,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,1,7
220,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,1,7
221,5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,1,7
222,6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,1,7
223,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,1,7
224,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,1,7
225,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,1,7
226,7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,1,7
227,7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1,1,7
228,8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,1,7
229,6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,1,7
230,6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,1,7
231,7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,1,7
232,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,1,7
233,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,1,7
234,6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,1,8
235,7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,1,7
236,7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,1,7
237,7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,1,7
238,8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,1,7
239,7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,1,7
240,8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,1,7
241,8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,1,7
242,8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,1,7
243,6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,1,7
244,6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,1,7
245,6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,1,7
246,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,1,8
247,7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,1,8
248,7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,1,7
249,8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,1,7
250,5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,1,8
251,6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,1,7
252,5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,1,7
253,5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,1,7
254,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,1,8
255,7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,1,7
256,6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,1,7
257,7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,1,7
258,7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,1,8
259,6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,1,7
260,6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,1,7
261,6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,1,7
262,7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,1,7
263,6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,1,8
264,6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,1,8
265,6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,1,7
266,6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,1,7
267,7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,1,7
268,6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,1,8
269,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,1,7
270,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,1,7
271,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,1,7
272,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,1,7
273,7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,1,7
274,7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,1,7
275,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,1,8
276,7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,1,8
277,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,1,8
278,5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,1,7
279,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,1,7
280,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,1,7
281,7.9,0.41,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4,1,7
282,7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,1,7
283,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,1,7
284,7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,1,7
285,8.1,0.43,0.42,6.6,0.033,36,141,0.9918,2.98,0.39,13.3,1,7
286,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,1,7
287,8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,1,7
288,7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,1,7
289,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,1,7
290,7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,1,7
291,6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,1,7
292,7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,1,8
293,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,1,7
294,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,1,7
295,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,1,7
296,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,1,7
297,8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,1,8
298,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,1,7
299,6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,1,7
300,8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,1,7
