ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Column1
3560,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,1
3561,7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,1
3562,5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,1
3563,6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,1
3564,6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,1
3565,7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,1
3566,8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,1
3567,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,1
3568,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,1
3569,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,1
3570,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,1
3571,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,1
3572,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,1
3573,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,1
3574,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,1
3575,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,1
3576,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,1
3577,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,1
3578,6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,1
3579,6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,1
3580,8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8,1
3581,7.2,0.58,0.27,5.8,0.032,40,118,0.99088,3.17,0.53,13,1
3582,6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,1
3583,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,1
3584,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,1
3585,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,1
3586,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,1
3587,6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,1
3588,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,1
3589,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,1
3590,6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,1
3591,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,1
3592,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,1
3593,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,1
3594,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,1
3595,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,1
3596,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,1
3597,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3598,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3599,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3600,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3601,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,1
3602,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3603,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,1
3604,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,1
3605,6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,1
3606,7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,1
3607,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,1
3608,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,1
3609,5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,1
3610,6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,1
3611,6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1,1
3612,6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,1
3613,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,1
3614,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,1
3615,6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,1
3616,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,1
3617,7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,1
3618,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,1
3619,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,1
3620,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3621,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3622,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3623,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3624,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3625,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3626,6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,1
3627,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,1
3628,6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,1
3629,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,1
3630,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,1
3631,6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,1
3632,5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,1
3633,6.2,0.3,0.3,2.5,0.041,29,82,0.99065,3.31,0.61,11.8,1
3634,6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,1
3635,7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,1
3636,6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,1
3637,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,1
3638,5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,1
3639,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,1
3640,5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,1
3641,5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,1
3642,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,1
3643,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,1
3644,6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7,1
3645,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,1
3646,6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,1
3647,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,1
3648,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.89333333,1
3649,6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,1
3650,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,1
3651,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.89333333,1
3652,7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,1
3653,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3654,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3655,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3656,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3657,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3658,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3659,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3660,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,1
3661,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,1
3662,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,1
3663,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,1
3664,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,1
3665,5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,1
3666,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,1
3667,5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,1
3668,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,1
3669,6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,1
3670,5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,1
3671,6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,1
3672,5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,1
3673,5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,1
3674,7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,1
3675,5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,1
3676,5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05,1
3677,6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,1
3678,6.1,0.35,0.24,2.3,0.034,25,133,0.9906,3.34,0.59,12,1
3679,4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,1
3680,6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,1
3681,6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,1
3682,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.26666667,1
3683,5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,1
3684,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,1
3685,7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,1
3686,6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,1
3687,5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,1
3688,5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,1
3689,6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9,1
3690,5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4,1
3691,5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,1
3692,5.9,0.18,0.28,1,0.037,24,88,0.99094,3.29,0.55,10.65,1
3693,5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,1
3694,5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,1
3695,6.3,0.36,0.28,2.5,0.035,18,73,0.98868,3.1,0.47,12.8,1
3696,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,1
3697,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,1
3698,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,1
3699,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,1
3700,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.13333333,1
3701,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.13333333,1
3702,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,1
3703,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.15,1
3704,6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,1
3705,5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.63333333,1
3706,6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,1
3707,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,1
3708,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,1
3709,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,1
3710,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,1
3711,5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,1
3712,6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,1
3713,5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,1
3714,6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,1
3715,6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3,1
3716,5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,1
3717,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,1
3718,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,1
3719,5.9,0.48,0.3,1.5,0.037,19,78,0.99057,3.47,0.42,11.9,1
3720,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,1
3721,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,1
3722,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,1
3723,6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4,1
3724,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,1
3725,6.9,0.25,0.29,2.4,0.038,28,76,0.99088,3.01,0.36,11.7,1
3726,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,1
3727,3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,1
3728,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,1
3729,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,1
3730,6,0.2,0.33,1.1,0.039,45,126,0.99051,3.31,0.45,11.6,1
3731,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,1
3732,5.8,0.28,0.34,2.2,0.037,24,125,0.98986,3.36,0.33,12.8,1
3733,6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,1
3734,5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,1
